2022-10-13 12:22:49 - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2022-10-13 12:22:49 - [clash]: level=info msg="Mixed(http+socks) proxy listening at: [::]:7890"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-13 12:22:49 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
