2022-10-19 10:15:21 - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-19 10:15:21 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-19 10:15:22 - [clash]: level=warning msg="[CacheFile] can't open cache file: timeout"
2022-10-19 10:15:22 - [clash]: level=error msg="Start Mixed(http+socks) server error: listen tcp :7890: bind: address already in use"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-19 10:41:19 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
