2022-10-21 11:06:16 - failed to activate for `error sending request for url (http://127.0.0.1:9090/configs): connection closed before message completed`
2022-10-21 11:06:16 - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2022-10-21 11:06:16 - [clash]: level=info msg="Mixed(http+socks) proxy listening at: [::]:7890"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-21 11:06:17 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-21 13:35:03 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-21 13:35:08 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-21 13:36:03 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-21 13:36:07 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-21 13:36:21 - [clash]: level=info msg="Mixed(http+socks) proxy listening at: 127.0.0.1:7890"
