2022-11-30 17:35:44 - Permission denied (os error 13)
2022-11-30 17:35:44 - error sending request for url (http://127.0.0.1:9090/configs): error trying to connect: tcp connect error: Connection refused (os error 111)
2022-11-30 17:35:44 - [clash]: level=info msg="Mixed(http+socks) proxy listening at: 127.0.0.1:7890"
2022-11-30 17:35:44 - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🔰国外流量"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🎬哔哩哔哩"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🍎苹果服务"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🚀直接连接"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🎬Youtube"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider ✈️Telegram"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider ⚓️其他流量"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🎬国外媒体"
2022-11-30 17:35:44 - [clash]: level=info msg="Start initial compatible provider 🎬Netflix"
2022-11-30 17:36:07 - the remote profile data is invalid yaml
2022-11-30 17:36:13 - the remote profile data is invalid yaml
2022-11-30 17:36:20 - the remote profile data is invalid yaml
2022-11-30 17:36:45 - the remote profile data is invalid yaml
2022-11-30 17:37:21 - the remote profile data is invalid yaml
2022-11-30 17:37:44 - the remote profile data is invalid yaml
2022-11-30 18:09:28 - the remote profile data is invalid yaml
2022-11-30 18:09:32 - the remote profile data is invalid yaml
2022-11-30 18:10:43 - the remote profile data is invalid yaml
2022-11-30 18:12:21 - the remote profile data is invalid yaml
2022-11-30 18:14:17 - [clash]: level=info msg="[TCP] 127.0.0.1:58020 --> 127.0.0.1:33331 using GLOBAL"
