2022-12-12 10:15:52 - Permission denied (os error 13)
2022-12-12 10:15:52 - error sending request for url (http://127.0.0.1:9090/configs): error trying to connect: tcp connect error: Connection refused (os error 111)
2022-12-12 10:15:52 - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2022-12-12 10:15:52 - [clash]: level=info msg="Mixed(http+socks) proxy listening at: 127.0.0.1:7890"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🍎苹果服务"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider ⚓️其他流量"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🎬国外媒体"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🎬Youtube"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🚀直接连接"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🔰国外流量"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🎬哔哩哔哩"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider ✈️Telegram"
2022-12-12 10:15:53 - [clash]: level=info msg="Start initial compatible provider 🎬Netflix"
2022-12-12 10:15:53 - running timer task `rJXPQ2huPmnv`
2022-12-12 10:15:53 - running timer task `rG54CGISK8b1`
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🎬国外媒体"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🚀直接连接"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🔰国外流量"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🍎苹果服务"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider ✈️Telegram"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🎬Youtube"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider ⚓️其他流量"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🎬Netflix"
2022-12-12 10:15:55 - [clash]: level=info msg="Start initial compatible provider 🎬哔哩哔哩"
2022-12-12 10:16:00 - [clash]: level=info msg="[TCP] 127.0.0.1:52886 --> xn--4gq62f52gdss.com:443 match Match() using ⚓️其他流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:00 - [clash]: level=info msg="[TCP] 127.0.0.1:52882 --> optimizationguide-pa.googleapis.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:04 - [clash]: level=info msg="[TCP] 127.0.0.1:52888 --> www.gstatic.com:443 match DomainSuffix(gstatic.com) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:36 - [clash]: level=info msg="[TCP] 127.0.0.1:52890 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:37 - [clash]: level=info msg="[TCP] 127.0.0.1:52892 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:37 - [clash]: level=info msg="[TCP] 127.0.0.1:52894 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:37 - [clash]: level=info msg="[TCP] 127.0.0.1:52896 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:37 - [clash]: level=info msg="[TCP] 127.0.0.1:52898 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:37 - [clash]: level=info msg="[TCP] 127.0.0.1:52900 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:43 - [clash]: level=warning msg="[TCP] dial 🔰国外流量 (match DomainKeyword/google) 127.0.0.1:52902 --> lh3.googleusercontent.com:443 error: jp.12138.one:22139 connect error: lookup jp.12138.one: i/o timeout"
2022-12-12 10:16:43 - [clash]: level=info msg="[TCP] 127.0.0.1:52904 --> lh3.googleusercontent.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:44 - [clash]: level=info msg="[TCP] 127.0.0.1:52906 --> ogs.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:44 - [clash]: level=info msg="[TCP] 127.0.0.1:52910 --> ssl.gstatic.com:443 match DomainSuffix(gstatic.com) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:44 - [clash]: level=info msg="[TCP] 127.0.0.1:52908 --> www.gstatic.com:443 match DomainSuffix(gstatic.com) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:45 - [clash]: level=info msg="[TCP] 127.0.0.1:52912 --> play.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:16:46 - [clash]: level=info msg="[TCP] 127.0.0.1:52914 --> play.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:17:41 - [clash]: level=info msg="[TCP] 127.0.0.1:52916 --> optimizationguide-pa.googleapis.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:17:42 - [clash]: level=info msg="[TCP] 127.0.0.1:52918 --> beacons.gcp.gvt2.com:443 match GeoIP(CN) using DIRECT"
2022-12-12 10:17:50 - [clash]: level=info msg="[TCP] 127.0.0.1:52920 --> www.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:18:24 - [clash]: level=info msg="[TCP] 127.0.0.1:52924 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:18:50 - [clash]: level=info msg="[TCP] 127.0.0.1:52926 --> android.clients.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:19:54 - [clash]: level=info msg="[TCP] 127.0.0.1:52928 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:20:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52930 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:21:45 - [clash]: level=info msg="[TCP] 127.0.0.1:52932 --> play.google.com:443 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:21:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52934 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:22:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52936 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:23:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52940 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:24:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52942 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:25:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52944 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:26:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52946 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:27:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52948 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
2022-12-12 10:28:55 - [clash]: level=info msg="[TCP] 127.0.0.1:52952 --> mtalk.google.com:5228 match DomainKeyword(google) using 🔰国外流量[日本2 [x1.0-Netflix]]"
